vote_average,vote_count,revenue,runtime,adult,popularity,title_length,budget,sentiment_cluster,num_production_countries,is_produced_in_US,num_spoken_languages,is_spoken_in_English,lang_en,lang_fr,lang_es,release_month,release_Friday,release_Monday,release_Saturday,release_Sunday,release_Thursday,release_Tuesday,release_Wednesday,release_1910s,release_1920s,release_1930s,release_1940s,release_1950s,release_1960s,release_1970s,release_1980s,release_1990s,release_2000s,release_2010s,release_2020s,season_Fall,season_Spring,season_Summer,season_Winter,num_genres_list,genres_list__Action_,genres_list__Adventure_,genres_list__Animation_,genres_list__Comedy_,genres_list__Crime_,genres_list__Documentary_,genres_list__Drama_,genres_list__Family_,genres_list__Fantasy_,genres_list__History_,genres_list__Horror_,genres_list__Music_,genres_list__Mystery_,genres_list__Romance_,genres_list__Science_Fiction_,genres_list__Thriller_,genres_list__War_,genres_list__Western_,revenue_log,runtime_log,popularity_log,budget_log,num_genres_list_log,num_production_countries_log,num_spoken_languages_log,title_length_log,vote_average_category
7.916,25379,976475550.0,152,0,185.482,40,125000000.0,0,2,1,1,1,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.699460270589174,5.030437921392435,5.228334719680714,18.643824303266577,3.2188758248682006,1.0986122886681096,0.6931471805599453,3.713572066704308,1
7.64,24874,585174222.0,126,0,72.897,8,140000000.0,1,1,1,4,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.18742017795144,4.844187086458591,4.302672231730953,18.757152987716434,3.7612001156935624,0.6931471805599453,1.6094379124341003,2.1972245773362196,1
8.171,24672,425368238.0,165,0,54.224,16,100000000.0,1,1,1,3,1,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,19.86846579644804,5.111987788356544,4.0113976414011745,18.420680753952364,3.044522437723423,0.6931471805599453,1.3862943611198906,2.833213344056216,2
8.702,24649,28341469.0,142,0,122.61,24,25000000.0,2,1,1,1,1,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,17.1598366610298,4.962844630259907,4.817131447899731,17.034386422832473,2.9444389791664403,0.6931471805599453,0.6931471805599453,3.2188758248682006,2
8.263,23857,2800000000.0,181,0,91.756,17,356000000.0,1,1,1,3,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.752885254484713,5.204006687076795,4.5299723894221895,19.690441291625294,3.7612001156935624,0.6931471805599453,1.3862943611198906,2.8903717578961645,2
8.206,23815,463517383.0,136,0,78.564,10,63000000.0,2,1,1,1,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.95435444819997,4.919980925828125,4.376561729242814,17.958645300228824,3.4011973816621555,0.6931471805599453,0.6931471805599453,2.3978952727983707,2
7.9,23637,2264162353.0,194,0,102.348,7,200000000.0,0,1,1,6,1,1,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,21.54047070584697,5.272999558563747,4.638101934223066,19.11382792951231,3.044522437723423,0.6931471805599453,1.9459101490553132,2.0794415416798357,1
8.168,23425,1074458282.0,122,0,54.522,5,55000000.0,1,2,1,1,1,1,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,20.79508244872358,4.812184355372417,4.01677933860449,17.822843761378564,3.4339872044851463,1.0986122886681096,0.6931471805599453,1.791759469228055,2
8.402,23323,871368364.0,179,0,87.037,49,93000000.0,2,2,1,1,1,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.585575367339324,5.19295685089021,4.4777571806574175,18.34811006187022,3.5553480614894135,1.0986122886681096,0.6931471805599453,3.912023005428146,2
8.474,22334,1118888979.0,201,0,99.276,45,94000000.0,1,2,1,1,1,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.83560204777065,5.308267697401205,4.607926384181808,18.358805350872576,3.5553480614894135,1.0986122886681096,0.6931471805599453,3.828641396489095,2
8.2,22318,294800000.0,138,0,56.595,14,80000000.0,1,1,1,2,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,32,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,19.501807721671586,4.9344739331306915,4.05343575837847,18.197537205138154,3.4965075614664802,0.6931471805599453,1.0986122886681096,2.70805020110221,2
8.035,22222,392000000.0,180,0,97.444,23,100000000.0,2,1,1,2,1,1,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,28,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19.786772400305757,5.198497031265826,4.589487858585985,18.420680753952364,3.367295829986474,0.6931471805599453,1.0986122886681096,3.1780538303479458,2
7.276,21754,1405403694.0,141,0,96.565,23,365000000.0,2,1,1,1,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.063590425863644,4.955827057601261,4.580518822546962,19.71540791428649,3.7612001156935624,0.6931471805599453,0.6931471805599453,3.1780538303479458,1
7.4,21541,1155046416.0,147,0,70.741,26,250000000.0,2,1,1,4,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.867406367991446,4.997212273764115,4.273062411231965,19.33697147982652,3.7612001156935624,0.6931471805599453,1.6094379124341003,3.295836866004329,1
7.777,21335,1081041287.0,165,0,76.914,21,250000000.0,2,1,1,1,1,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,20.80119056913867,5.111987788356544,4.355605654316081,19.33697147982652,3.713572066704308,0.6931471805599453,0.6931471805599453,3.091042453358316,1
6.928,21064,1215577205.0,130,0,61.06,10,200000000.0,1,1,1,1,1,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.918484867597147,4.875197323201151,4.128101659020234,19.11382792951231,3.7612001156935624,0.6931471805599453,0.6931471805599453,2.3978952727983707,1
7.39,21053,1349926083.0,135,0,43.665,13,200000000.0,2,1,1,4,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.023315675305177,4.912654885736052,3.7991901971538025,19.11382792951231,3.7612001156935624,0.6931471805599453,1.6094379124341003,2.639057329615259,1
7.427,20935,676343174.0,115,0,70.535,14,180000000.0,2,1,1,1,1,1,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.33221116051931,4.7535901911063645,4.270186840418297,19.00846741441004,3.5553480614894135,0.6931471805599453,0.6931471805599453,2.70805020110221,1
7.582,20911,378858340.0,121,0,78.319,18,150000000.0,2,3,1,1,1,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.752672922728568,4.804021044733257,4.373477696411257,18.826145858727198,3.7612001156935624,1.3862943611198906,0.6931471805599453,2.9444389791664403,1
8.215,20746,321457747.0,153,0,59.162,20,70000000.0,1,3,1,4,1,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,19.588376671543493,5.0369526024136295,4.0970409237698435,18.064005814299346,3.367295829986474,1.3862943611198906,1.6094379124341003,3.044522437723423,2
7.193,20636,694394724.0,142,0,29.577,16,75000000.0,1,1,1,1,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,43,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20.358551124795387,4.962844630259907,3.420248092352956,18.132998684833918,3.784189633918261,0.6931471805599453,0.6931471805599453,2.833213344056216,1
7.345,20507,880166924.0,133,0,65.88,22,175000000.0,2,1,1,1,1,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,51,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20.595622134948126,4.897839799950911,4.202899968776446,18.980296537602072,3.9512437185814275,0.6931471805599453,0.6931471805599453,3.1354942159291497,1
7.721,20390,876688482.0,161,0,121.699,39,100000000.0,2,2,1,1,1,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.591662279709666,5.087596335232384,4.809734201724404,18.420680753952364,3.2188758248682006,1.0986122886681096,0.6931471805599453,3.6888794541139363,1
7.624,20353,863756051.0,137,0,67.553,30,200000000.0,0,1,1,1,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.576800939678627,4.927253685157205,4.227607168726871,19.11382792951231,3.7612001156935624,0.6931471805599453,0.6931471805599453,3.4339872044851463,1
